event_id,league,home_team,away_team,event_time,timestamp,sport_id,retrieved_at
179606648,LOL - LCK CL Rounds 3-5,KT Rolster.Ch,BNK FearX.Y,2025-08-19 04:00:00,1755590400,151,2025-08-19 20:38:39
179540930,LOL - LPL Split 3,Ninjas in Pyjamas,LNG Esports,2025-08-19 05:00:00,1755594000,151,2025-08-19 20:38:39
179764528,LOL - PCS Split 3,West Point Esports,CFO Academy,2025-08-19 05:00:00,1755594000,151,2025-08-19 20:38:39
179606649,LOL - LCK CL Rounds 3-5,OKSavingsBank BRION.Ch,Nongshim.EA,2025-08-19 06:00:00,1755597600,151,2025-08-19 20:38:39
179540931,LOL - LPL Split 3,Anyone's Legend,Top Esports,2025-08-19 07:00:00,1755601200,151,2025-08-19 20:38:39
179761098,LOL - Hitpoint Masters Summer Playoffs,Entropiq,Nightbirds,2025-08-19 10:00:00,1755612000,151,2025-08-19 20:38:39
179541081,LOL - Superliga Summer Split Playoffs,Movistar KOI Fenix,UCAM Esports,2025-08-19 12:00:00,1755619200,151,2025-08-19 20:38:39
179669718,LOL - Prime League Season Finals,TeamOrangeGaming,ROSSMANN Centaurs,2025-08-19 12:00:00,1755619200,151,2025-08-19 20:38:39
179784702,LOL - Arabian League Summer Playoffs,Geekay Esports,GNG Amazigh,2025-08-19 12:00:00,1755619200,151,2025-08-19 20:38:39
179555583,LOL - ROL Summer,mCon esports,Jormungang,2025-08-19 13:00:00,1755622800,151,2025-08-19 20:38:39
179555500,LOL - Rift Legends Summer,Zero Tenacity,Forsaken,2025-08-19 14:00:00,1755626400,151,2025-08-19 20:38:39
179555585,LOL - ROL Summer,ZennIT,Once Upon A Team,2025-08-19 14:00:00,1755626400,151,2025-08-19 20:38:39
179606650,LOL - LCK CL Rounds 3-5,Gen.G.GA,T1.EA,2025-08-20 01:00:00,1755666000,151,2025-08-19 20:38:39
179606651,LOL - LCK CL Rounds 3-5,DN Freecs.Ch,Dplus KIA.Ch,2025-08-20 01:00:00,1755666000,151,2025-08-19 20:38:39
179715703,LOL - LCK,DRX,DN Freecs,2025-08-20 04:00:00,1755676800,151,2025-08-19 20:38:39
179540932,LOL - LPL Split 3,LGD Gaming,ThunderTalk Gaming,2025-08-20 05:00:00,1755680400,151,2025-08-19 20:38:39
179764529,LOL - PCS Split 3,Deep Cross Gaming,Frank Esports,2025-08-20 05:00:00,1755680400,151,2025-08-19 20:38:39
179715704,LOL - LCK,Gen.G,Nongshim RedForce,2025-08-20 06:00:00,1755684000,151,2025-08-19 20:38:39
179540933,LOL - LPL Split 3,FunPlus Phoenix,Anyone's Legend,2025-08-20 07:00:00,1755687600,151,2025-08-19 20:38:39
179555501,LOL - Rift Legends Summer,Orzel Barczaca Esports,DOCISK,2025-08-20 11:00:00,1755702000,151,2025-08-19 20:38:39
179665916,LOL - NLC Summer Playoffs,NORD Esports,Verdant,2025-08-20 12:00:00,1755705600,151,2025-08-19 20:38:39
179693606,LOL - LFL Summer,Solary,Team BDS.A,2025-08-20 12:00:00,1755705600,151,2025-08-19 20:38:39
179606652,LOL - LCK CL Rounds 3-5,DRX.Ch,KT Rolster.Ch,2025-08-21 01:00:00,1755752400,151,2025-08-19 20:38:39
179606653,LOL - LCK CL Rounds 3-5,Nongshim.EA,Hanwha Life Esports.Ch,2025-08-21 01:00:00,1755752400,151,2025-08-19 20:38:39
179715705,LOL - LCK,KT Rolster,Hanwha Life Esports,2025-08-21 04:00:00,1755763200,151,2025-08-19 20:38:39
179540934,LOL - LPL Split 3,Ultra Prime,Edward Gaming,2025-08-21 05:00:00,1755766800,151,2025-08-19 20:38:39
179715707,LOL - LCK,OKSavingsBank BRION,BNK FearX,2025-08-21 06:00:00,1755770400,151,2025-08-19 20:38:39
179540936,LOL - LPL Split 3,JD Gaming,Bilibili Gaming,2025-08-21 07:00:00,1755774000,151,2025-08-19 20:38:39
179606988,LOL - TCL Summer,Besiktas Esports,The Forbidden Five,2025-08-21 10:30:00,1755786600,151,2025-08-19 20:38:39
179606989,LOL - TCL Summer,BoostGate Esports,ULF Esports,2025-08-21 11:30:00,1755790200,151,2025-08-19 20:38:39
179267735,LOL - NLC Summer Playoffs,Los Ratones,Rich Gang,2025-08-21 12:00:00,1755792000,151,2025-08-19 20:38:39
179693608,LOL - LFL Summer,Galions,Joblife,2025-08-21 12:00:00,1755792000,151,2025-08-19 20:38:39
179893600,LOL - Superliga Summer Split Playoffs,Los Heretics,UCAM Esports,2025-08-21 12:00:00,1755792000,151,2025-08-19 20:38:39
179606990,LOL - TCL Summer,Dark Passage,Papara SuperMassive,2025-08-21 12:30:00,1755793800,151,2025-08-19 20:38:39
179555586,LOL - ROL Summer,A One Man Army,Myth Esports,2025-08-21 13:00:00,1755795600,151,2025-08-19 20:38:39
179623170,LOL - EBL Summer Playoffs,Partizan Sangal,Lenovo Legion Honved,2025-08-21 13:00:00,1755795600,151,2025-08-19 20:38:39
179606991,LOL - TCL Summer,Bushido Wildcats,Misa Esports,2025-08-21 13:30:00,1755797400,151,2025-08-19 20:38:39
179555588,LOL - ROL Summer,Senshi eSports,Aurora,2025-08-21 14:00:00,1755799200,151,2025-08-19 20:38:39
179693609,LOL - LFL Summer,Karmine Corp Blue,Vitality.Bee,2025-08-21 15:00:00,1755802800,151,2025-08-19 20:38:39
179693610,LOL - LFL Summer,BK ROG Esports,Ici Japon Corp. Esport,2025-08-21 15:00:00,1755802800,151,2025-08-19 20:38:39
179692670,LOL - NACL Split 2 Playoffs,DarkZero,Winthrop University,2025-08-21 17:00:00,1755810000,151,2025-08-19 20:38:39
179606654,LOL - LCK CL Rounds 3-5,T1.EA,BNK FearX.Y,2025-08-22 01:00:00,1755838800,151,2025-08-19 20:38:39
179606655,LOL - LCK CL Rounds 3-5,Dplus KIA.Ch,OKSavingsBank BRION.Ch,2025-08-22 01:00:00,1755838800,151,2025-08-19 20:38:39
179715708,LOL - LCK,Nongshim RedForce,T1,2025-08-22 04:00:00,1755849600,151,2025-08-19 20:38:39
179712948,LOL - LPL Split 3,Invictus Gaming,FunPlus Phoenix,2025-08-22 05:00:00,1755853200,151,2025-08-19 20:38:39
179764485,LOL - LCP Season Finals,PSG Talon,DetonatioN FocusMe,2025-08-22 05:30:00,1755855000,151,2025-08-19 20:38:39
179715709,LOL - LCK,Dplus KIA,DRX,2025-08-22 06:00:00,1755856800,151,2025-08-19 20:38:39
179712950,LOL - LPL Split 3,Edward Gaming,LGD Gaming,2025-08-22 07:00:00,1755860400,151,2025-08-19 20:38:39
179715872,LOL - LCP Season Finals,CTBC Flying Oyster,GAM Esports,2025-08-22 08:00:00,1755864000,151,2025-08-19 20:38:39
179606993,LOL - TCL Summer,Misa Esports,The Forbidden Five,2025-08-22 10:30:00,1755873000,151,2025-08-19 20:38:39
179606996,LOL - TCL Summer,Bushido Wildcats,Dark Passage,2025-08-22 11:30:00,1755876600,151,2025-08-19 20:38:39
179693611,LOL - LFL Summer,Ici Japon Corp. Esport,Team BDS.A,2025-08-22 12:00:00,1755878400,151,2025-08-19 20:38:39
179606997,LOL - TCL Summer,Papara SuperMassive,BoostGate Esports,2025-08-22 12:30:00,1755880200,151,2025-08-19 20:38:39
179606999,LOL - TCL Summer,ULF Esports,Besiktas Esports,2025-08-22 13:30:00,1755883800,151,2025-08-19 20:38:39
179693612,LOL - LFL Summer,Gentle Mates,BK ROG Esports,2025-08-22 15:00:00,1755889200,151,2025-08-19 20:38:39
179640179,LOL - NACL Split 2 Playoffs,Blue Otter,Conviction,2025-08-22 17:00:00,1755896400,151,2025-08-19 20:38:39
179692671,LOL - NACL Split 2 Playoffs,Dorado Gaming,Luminosity Gaming,2025-08-22 20:00:00,1755907200,151,2025-08-19 20:38:39
179715710,LOL - LCK,Hanwha Life Esports,Gen.G,2025-08-23 02:00:00,1755928800,151,2025-08-19 20:38:39
179712951,LOL - LPL Split 3,LNG Esports,ThunderTalk Gaming,2025-08-23 03:00:00,1755932400,151,2025-08-19 20:38:39
179715711,LOL - LCK,OKSavingsBank BRION,DN Freecs,2025-08-23 04:00:00,1755936000,151,2025-08-19 20:38:39
179712952,LOL - LPL Split 3,Team WE,Top Esports,2025-08-23 05:00:00,1755939600,151,2025-08-19 20:38:39
179764486,LOL - LCP Season Finals,Chiefs Esports Club,Fukuoka SB Hawks gaming,2025-08-23 05:30:00,1755941400,151,2025-08-19 20:38:39
179712953,LOL - LPL Split 3,Weibo Gaming,Invictus Gaming,2025-08-23 07:00:00,1755946800,151,2025-08-19 20:38:39
179761099,LOL - Hitpoint Masters Summer Playoffs,Tan'i eSports CZ,Team UNiTY,2025-08-23 07:00:00,1755946800,151,2025-08-19 20:38:39
179715873,LOL - LCP Season Finals,MGN Vikings Esports,Team Secret Whales,2025-08-23 08:00:00,1755950400,151,2025-08-19 20:38:39
179390057,LOL - Equal Esports Cup Playoffs,G2 Hel,Solary Academy,2025-08-23 09:00:00,1755954000,151,2025-08-19 20:38:39
179746848,LOL - Hitpoint Masters Summer Playoffs,eSuba,EXILE esports,2025-08-23 11:00:00,1755961200,151,2025-08-19 20:38:39
179390030,LOL - LTA South Split 3,LOUD,Fluxo W7M,2025-08-23 12:00:00,1755964800,151,2025-08-19 20:38:39
179428801,LOL - LTA North Split 3,Disguised,Dignitas,2025-08-23 16:00:00,1755979200,151,2025-08-19 20:38:39
179715712,LOL - LCK,BNK FearX,Dplus KIA,2025-08-24 02:00:00,1756015200,151,2025-08-19 20:38:39
179715713,LOL - LCK,KT Rolster,T1,2025-08-24 04:00:00,1756022400,151,2025-08-19 20:38:39
179712954,LOL - LPL Split 3,Edward Gaming,LNG Esports,2025-08-24 05:00:00,1756026000,151,2025-08-19 20:38:39
179712955,LOL - LPL Split 3,Anyone's Legend,JD Gaming,2025-08-24 07:00:00,1756033200,151,2025-08-19 20:38:39
179893493,LOL - Prime League Season Finals,BIG,TeamOrangeGaming,2025-08-24 08:00:00,1756036800,151,2025-08-19 20:38:39
179390031,LOL - LTA South Split 3,Isurus,Leviatan,2025-08-24 12:00:00,1756051200,151,2025-08-19 20:38:39
179428802,LOL - LTA North Split 3,LYON,100 Thieves,2025-08-24 16:00:00,1756065600,151,2025-08-19 20:38:39
179763470,LOL - LEC Summer,SK Gaming,G2 Esports,2025-08-25 11:00:00,1756134000,151,2025-08-19 20:38:39
179763471,LOL - LEC Summer,Team BDS,Team Heretics,2025-08-25 13:00:00,1756141200,151,2025-08-19 20:38:39
179857388,LOL - CD Split 2 Playoffs,KaBuM! IDL,Corinthians Esports,2025-08-25 16:00:00,1756152000,151,2025-08-19 20:38:39
